location,variancia_ao_quadrado,curtose,alfa
Aruba,126.28206111681659,21.25314212489671,0.641685298123724
Afghanistan,942696528.1098989,9.683832157046789,0.6768018509884428
Angola,12.544604186010464,5.873835373267864,0.5961303801270575
Anguilla,0.006334173312814384,40.616394962528034,4.008384843564067
Albania,3818.125334506687,-0.3442929222431208,0.9041924144420758
Andorra,23685.82005798233,0.2547606812299539,1.0262429831646913
United Arab Emirates,7738029354.973389,-0.5165650573608764,1.2452781251392528
Argentina,1192935646.4904823,2.204701876546966,1.0020657663915287
Armenia,61905162.003154896,5.717004050250653,1.0322038567124578
Antigua and Barbuda,1.3137889018982891,13.865819022707104,0.6129565577589113
Australia,131494037.96042338,12.055969994650653,1.293735210899636
Austria,1695047992.428183,6.718392163098997,1.4592748762869705
Azerbaijan,3820860.212621441,2.92686899016137,1.0431751440364418
Burundi,32.46000692520775,24.179714360847118,0.47648700530434535
Belgium,80795733347.63997,1.3064009337289177,1.2364210794062036
Benin,772940.9070314777,39.01010089197786,0.8707517117307831
Bonaire Sint Eustatius and Saba,0.02182334710743802,11.048441318397778,0.6487615501785748
Burkina Faso,14644.014541120334,1.0603257584501202,0.6496787912669061
Bangladesh,84691709790.70204,0.6205051325356634,1.2856324941319746
Bulgaria,185777.227553344,0.8679867789883007,0.7960654757302916
Bahrain,109886312.00833508,2.052435278541788,0.9372470276586222
Bahamas,7.614046289811305,0.3245959750113223,0.6228674482586513
Bosnia and Herzegovina,280937.19421360415,0.2847034408746607,0.7712407684370236
Belarus,23605350317.495438,-0.35996678047290054,1.2203417953316464
Belize,0.2661170950443782,13.537312177636368,0.755900935975875
Bermuda,210.67049989498008,16.247312100947536,0.404954302147273
Bolivia,204025478.97960672,1.5499346603220152,0.8080135464175804
Brazil,544190379299952.6,3.7401998131497893,1.154025669914056
Barbados,21.528106263334564,6.533176112665217,0.4884499233057449
Brunei,131.2409431228111,4.419278771517924,0.7773624096534727
Bhutan,0.7782100803506212,11.055891224002362,0.850300715126881
Botswana,3.685630115388711,6.3392683593428005,0.4022544189546603
Central African Republic,133847.3918861159,4.909144084888588,0.4359821901978072
Canada,231951321745.6468,-0.9555943193177416,1.2846204443577847
Switzerland,13813377583.474815,1.8825420637862833,1.4794234854138957
Chile,2065571130811.3137,2.142382569764565,1.4711267332075448
China,5393999058804.305,56.75976476517122,1.1631014013763827
Cote d'Ivoire,354603.29722964077,1.4306748113995078,0.7776925229064929
Cameroon,119743351.37156337,5.263997123304761,0.45631143852606776
Democratic Republic of Congo,5029971.630666699,5.974050349261328,0.3520037273591984
Congo,31063.660104042865,3.096460623278519,0.4398897749919946
Colombia,6036696476.636163,0.18203963030287884,1.1881609277892613
Comoros,8360.429559763317,14.151650431700821,-0.5940702322650034
Cape Verde,4683.533682874171,6.965195086527022,0.6106839928671537
Costa Rica,4714.263412589544,0.30282449831861236,0.97552969594318
Cuba,139921.5594293241,-0.9658550066519522,1.068136197340407
Curacao,0.17818139792899362,5.760025051854408,0.6929048004535404
Cayman Islands,102.66025717896785,6.567443770564329,0.3650735514588198
Cyprus,21055.834947268446,1.8078964520604313,0.9562673763198913
Czech Republic,58293513.06130274,3.171660582627451,1.229023498853769
Germany,9637417710475.012,1.2696784400332892,1.393338469768865
Djibouti,14464613.709711814,6.998367413065009,0.5792664349533624
Dominica,0.503471291723044,21.088407158373272,0.9007556958855683
Denmark,75749196.18779807,0.7879026801427633,1.3459861708232626
Dominican Republic,450424549.78439844,0.8413549868392742,0.7236560560883645
Algeria,28665648.285927966,-1.0813682172103574,1.2647398059298496
Ecuador,1269045369735.896,90.50511269160079,0.5716379970941832
Egypt,1885835004.504717,2.3831544822061375,1.1412068039611625
Eritrea,4.264757377538127,8.345118220777026,0.6381481398743684
Western Sahara,1.265625,32.0,1.0891360684453866
Spain,32516983849722.363,1.5400771921660157,1.4790694677581357
Estonia,199433.44690499365,9.538074431254676,0.8786132671512485
Ethiopia,69960.15468471716,10.48148246070675,0.48767761332561876
Finland,10706656.453149263,1.6748145746669674,0.9117294315324742
Fiji,0.3009546640851366,24.919278745753495,0.8596415399656816
Falkland Islands,0.7490533563242937,29.535268633188707,0.2864029541152216
France,4827649057285.944,3.0897850001803895,1.1343182394924043
Faeroe Islands,7498.039224589348,46.65041024820203,0.9007990260525828
Gabon,6045091.394215924,3.391831948169076,0.4031589774422486
United Kingdom,22678461233053.633,-0.7573049813880885,1.1889638813520529
Georgia,3755.5533458568893,7.274059560431256,0.8918301882790466
Guernsey,1264.0661838292472,2.1912104060158466,1.0324321457623347
Ghana,674203082.5609417,9.111341814549315,0.6416890525116872
Gibraltar,276.5430063978599,8.146115153294659,0.8491418204590792
Guinea,5485054.177342139,0.37309387302724106,0.3907848655367438
Gambia,0.7395307863276227,16.880358434748004,0.588300369168765
Guinea-Bissau,1098599.410659987,2.6398820958983253,0.3279862766406145
Equatorial Guinea,1887738.144686254,7.611744050258045,0.4838138161403303
Greece,850059.4157409576,4.170040986697877,0.9282774374467363
Grenada,0.823482213202495,19.419449106107933,0.6461200092116336
Greenland,0.08575460652402858,13.423406810061948,0.9454703618266328
Guatemala,44132936.58241732,5.065428973918703,1.1283360006767773
Guam,154.97930211025815,4.56535522578128,0.6663478958223662
Guyana,30.917470095201065,1.4847459765157658,0.38203534885186347
Hong Kong,0.0,0.0,
Honduras,26481638.669091012,1.2516852054538092,0.7816320493196572
Croatia,360295.6529134558,1.7846216348766428,1.2953262650207122
Haiti,1004268.8256450734,4.313289635182586,0.34329764045328137
