s2,psi,location
0.05169260802835788,0.4510457349643727,Afghanistan
0.004121735620477151,0.5092746054829607,Albania
0.000826562523499615,0.5530396437043112,Algeria
0.021103731382656997,0.6631821236587627,Andorra
0.09419460324039303,0.7228856014960688,Angola
0.6779162614132441,0.0,Anguilla
0.20422120283727058,0.7208743434585968,Antigua and Barbuda
0.03489260871474487,0.6990501215805499,Argentina
0.03604885313301379,0.5646715181463486,Armenia
0.2611833985433789,0.7876518586569026,Aruba
0.07343128989241635,0.685787992684837,Australia
0.03904075616905936,0.5237934617064205,Austria
0.016218107067165616,0.3921905836511657,Azerbaijan
0.022052734208199993,0.5685667692444029,Bahamas
0.010594429301003086,0.6140798768930079,Bahrain
0.01594586042666008,0.6262484668218931,Bangladesh
0.09021712450811802,0.698762262156473,Barbados
6.958790462096163e-05,0.7085259165647234,Belarus
0.00908294182495873,0.6116354292749403,Belgium
0.2008894266393323,0.5320539027983805,Belize
0.30571347008693656,0.8473160225275995,Benin
0.18956638241369067,0.8400338438405667,Bermuda
0.04555478625965798,0.7039542653240695,Bolivia
0.21708331068113318,0.48360843263890113,Bonaire Sint Eustatius and Saba
0.007008021167140234,0.7412323702806395,Bosnia and Herzegovina
0.1403209958421687,0.7329819350707203,Botswana
0.020112343945940313,0.5729991035831266,Brazil
0.17745980204192324,0.17903037898352353,British Virgin Islands
0.06985139273186011,0.29170334804159714,Brunei
0.01216696816395668,0.5840395484181737,Bulgaria
0.02326658467102392,0.7089796238939704,Burkina Faso
0.40630203390448794,0.6514654740221527,Burundi
0.39584785886653934,0.17180635703801797,Cambodia
0.0588055467101492,0.7866558439886512,Cameroon
0.002105900216308622,0.5465209051333482,Canada
0.08832327136075564,0.8415962950311192,Cape Verde
0.0803390659507232,0.5209256704658743,Cayman Islands
0.0766552878536398,0.7144065942683883,Central African Republic
0.0752287902209779,0.7047128434564123,Chad
0.03457046265999194,0.3986582926047495,Chile
0.13461369479111654,0.8075890378028031,China
0.0148449653008127,0.6365934809055392,Colombia
0.5872418736473108,0.604823500699365,Comoros
