s2,psi,location
0.002885076460922419,0.42411639340257307,Malaysia
0.14669420969427316,0.8113568201800859,Maldives
0.010349353677810919,0.6937598269798781,Mali
0.057165808663674926,0.6398968395509546,Malta
0.08892487060662838,0.6639873499188049,Mauritius
0.01112093795910373,0.45567601121190215,Mexico
0.0008416363879279607,0.5483764510943127,Moldova
0.045527302869106036,0.42862739472853106,Monaco
0.7456182360428033,0.689268523842648,Mongolia
0.05809914728280646,0.521210314404514,Montenegro
0.3399155269134737,0.6345130722210128,Montserrat
0.002284079529514272,0.558389466879694,Morocco
0.09250474815100258,0.7138364011646964,Mozambique
0.067334210153152,0.5671164214017435,Myanmar
0.13202940597990367,0.3989351519413885,Namibia
0.09903578262951203,0.6062855274954002,Nepal
0.002162830749605731,0.39847905703196634,Netherlands
0.24681767112715436,0.19019084627101163,New Caledonia
0.04745442727890151,0.7000187459776881,New Zealand
0.6559039240826487,0.37486703596901133,Nicaragua
0.06645797403269105,0.6042404432488572,Niger
0.008503207408065979,0.6284316432882182,Nigeria
0.12800038384741702,0.5936133301497148,Northern Mariana Islands
0.017765122899232377,0.5588120176493807,Norway
0.030137337368995105,0.7282818820745817,Oman
0.006483762551009834,0.5719294069295382,Pakistan
0.5364989035611799,0.9599282841077128,Palestine
0.00026276201132880404,0.6896689748576226,Panama
0.7907838289513923,0.8381188197852257,Papua New Guinea
0.228706288638336,0.7049815275800632,Paraguay
0.006162431518098766,0.6366672796558087,Peru
0.003992276441702075,0.7535066309999352,Philippines
0.0026191773815142593,0.4951315975340483,Poland
0.012010829015592507,0.6333938739623501,Portugal
0.010959011149868577,0.5311700458076555,Puerto Rico
0.006151305377043114,0.4740842113192752,Qatar
7.2572045957579255e-06,0.40161558308365236,Romania
0.0007965430108263175,0.41511297505643713,Russia
0.039402770814832934,0.6187478754839975,Rwanda
0.37240185231661066,0.7838816306158785,Saint Kitts and Nevis
0.27381311111297985,0.5598874093776032,Saint Lucia
0.3154113184277517,0.6314566351614942,Saint Vincent and the Grenadines
0.018722709038950666,0.6971825736551068,San Marino
0.44088718986398334,0.9298361097884984,Sao Tome and Principe
0.003234806374969695,0.4620346555950144,Saudi Arabia
0.011358988794744066,0.3036349905555601,Senegal
0.00818398449992334,0.44465098680050746,Serbia
0.14990601707833676,0.35612739402003146,Seychelles
0.08099095038888164,0.6068654426669743,Sierra Leone
0.0028072963596524163,0.6040299188056941,Singapore
0.16793217787377324,0.7023803002958429,Sint Maarten (Dutch part)
0.05777013732181271,0.6736775283100721,Slovakia
0.004882596775696559,0.4910646816694869,Slovenia
0.01117306841027316,0.7104318903497945,Somalia
0.029524234936476535,0.4863955489948136,South Africa
0.027463105304360812,0.7034913333292021,South Korea
0.3292648020316756,0.6476928823800018,South Sudan
0.009465904948448376,0.5638720141635629,Spain
0.16167516952488956,0.3902277081099128,Sri Lanka
0.054853684657141404,0.720817499650758,Sudan
0.08664128835954535,0.6773544839021427,Swaziland
0.0005187669926191338,0.5078468673586558,Sweden
0.010740763126130653,0.512823828919262,Switzerland
0.15405623737806742,0.6319386609855461,Syria
0.040870901669572045,0.5942625727018214,Taiwan
0.059562683806216064,0.5347757948167828,Tajikistan
0.452628464172442,0.8878131284524057,Tanzania
0.05710761458010338,0.7608762041384086,Thailand
0.7369781578742108,0.8094617801105846,Timor
0.06901824155583898,0.5459676672571474,Togo
0.6834863302580703,0.3766750806552085,Trinidad and Tobago
0.030163684565931662,0.7244703961383709,Tunisia
0.0024471802784883177,0.5104437350047306,Turkey
0.25089379736626943,0.5949952571150449,Turks and Caicos Islands
0.2966183045329734,0.6036613929012906,Uganda
3.1828286213476335e-05,0.5939374144344263,Ukraine
0.0,0.6576105749385202,United Arab Emirates
0.0005412257928988062,0.3997660070748676,United Kingdom
0.004776937904966499,0.49021466967386534,United States
0.26435823555352167,0.6293180800111426,United States Virgin Islands
0.017766253655670337,0.68748361884846,Uruguay
0.02487926647304339,0.5600512965351041,Uzbekistan
0.4289059485373604,0.08877037520949649,Vatican
0.1664265574064626,0.7007606595889961,Venezuela
0.061740427321002246,0.5861136870347905,Vietnam
0.10113165467376947,0.3415037332426312,Yemen
0.2162193342175734,0.5787797920358476,Zambia
1.0,0.6876538553617627,Zimbabwe
