s2,psi
0.032095629996307724,0.6550273420747955
0.032095629996307724,0.6366300269882061
0.032095629996307724,0.6621799436376508
0.032095629996307724,0.6881257175297858
0.032095629996307724,0.5979913736515151
0.03209562999630773,0.6360703130692799
0.032095629996307724,0.5835208571204539
0.032095629996307724,0.6597824584988439
0.03209562999630773,0.6493997148404311
0.03209562999630772,0.6244244832747223
0.009347551625503268,0.574970370254863
0.009347551625503272,0.5524735637137648
0.009347551625503272,0.5743758440606515
0.009347551625503277,0.5718706084693598
0.009347551625503268,0.5645369208367867
0.009347551625503277,0.5602222304465039
0.009347551625503272,0.5071986440156904
0.009347551625503268,0.5965715966408819
0.009347551625503268,0.4899806185217361
0.009347551625503268,0.5893804013717525
0.0,0.4110767072111785
5.078093884890352e-19,0.4171059457974964
7.617140827335528e-19,0.4240812267314686
7.617140827335528e-19,0.37364224527193307
5.078093884890352e-19,0.43695961266187017
7.617140827335528e-19,0.3682576472470418
5.078093884890352e-19,0.4216491500943036
7.617140827335528e-19,0.4036305111679845
5.078093884890352e-19,0.38574125201771803
0.0,0.3987199726913577
1.0,0.8502414897710769
0.999999999999999,0.8244048505954176
0.999999999999999,0.8819739290235378
1.0,0.8013214726818664
1.0,0.7923340897024486
0.9999999999999992,0.8897330446202909
1.0,0.8926359523557712
0.999999999999999,0.8888772416854454
1.0,0.8817742439141456
1.0,0.8493167664173378
0.441428093892722,0.8038414766427744
0.4414280938927216,0.8456650734832374
0.4414280938927216,0.8331356347317261
0.4414280938927214,0.795744366488014
0.4414280938927216,0.7803274560531755
0.4414280938927214,0.7705278109314286
0.4414280938927214,0.830030514559734
0.4414280938927216,0.8377821779640525
0.4414280938927216,0.7803655684307395
0.44142809389272175,0.8450098743780015
0.098674768402206,0.7123876383783312
0.098674768402206,0.7515118985233251
0.098674768402206,0.7456287560362008
0.09867476840220596,0.689366194142106
0.098674768402206,0.7274366758504732
0.098674768402206,0.6600163353177108
0.098674768402206,0.7413485069467408
0.098674768402206,0.745981193871204
0.098674768402206,0.7034846525272778
0.098674768402206,0.7299701209968151
