valor,familia,sinal
0.001,logistic,0
0.003809430865475231,logistic,0
0.014470952911886124,logistic,0
0.05438275030541952,logistic,0
0.19609709561221575,logistic,0
0.6011313353722136,logistic,0
0.9143108940651942,logistic,0
0.2987542650310349,logistic,0
0.7988752287955325,logistic,0
0.6126876496613541,logistic,0
0.9048885227185012,logistic,0
0.32818793790415984,logistic,0
0.8407464076404297,logistic,0
0.5105624443910053,logistic,0
0.9528856019343022,logistic,0
0.17119418935045683,logistic,0
0.5410487712741675,logistic,0
0.9468857048822049,logistic,0
0.19178012194544736,logistic,0
0.5910547694311302,logistic,0
0.9216955309298425,logistic,0
0.27521280645752777,logistic,0
0.7606305389964484,logistic,0
0.6942839219815493,logistic,0
0.8093753911322065,logistic,0
0.5883334881536557,logistic,0
0.9235570266983115,logistic,0
0.26921291829903443,logistic,0
0.7502074377599921,logistic,0
0.7145876010534433,logistic,0
0.7777193783783107,logistic,0
0.6592029331265544,logistic,0
0.8566621669565961,logistic,0
0.4682362469257622,logistic,0
0.9494637081015596,logistic,0
0.18296850921242383,logistic,0
0.5700458042604702,logistic,0
0.9346016704632362,logistic,0
0.2330707728771986,logistic,0
0.6816127618215235,logistic,0
0.8275380523692928,logistic,0
0.5442217158986804,logistic,0
0.9458539991464949,logistic,0
0.19529229011997226,logistic,0
0.5992635582059787,logistic,0
0.9157381646673192,logistic,0
0.29423669711779227,logistic,0
0.7918638512856102,logistic,0
0.6284817052298438,logistic,0
0.8903637150145298,logistic,0
0.3722342852529395,logistic,0
0.8910633336337477,logistic,0
0.3701495812175201,logistic,0
0.8890154179457546,logistic,0
0.37624137410319597,logistic,0
0.8949066275596175,logistic,0
0.3586308629603436,logistic,0
0.8771024557336198,logistic,0
0.41104383601979394,logistic,0
0.923136067501745,logistic,0
0.27057204713730226,logistic,0
0.7525925896343608,logistic,0
0.7100145511708472,logistic,0
0.7851236567461716,logistic,0
0.6433114422722953,logistic,0
0.8749939735814289,logistic,0
0.4170908095011894,logistic,0
0.9270990395599231,logistic,0
0.25772348137244117,logistic,0
0.7294815622066841,logistic,0
0.7524987768203242,logistic,0
0.7101952380915422,logistic,0
